SRR11212905	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/005/SRR11212905/SRR11212905_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/005/SRR11212905/SRR11212905_2.fastq.gz	47194066;48298502	642908
SRR11212906	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/006/SRR11212906/SRR11212906_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/006/SRR11212906/SRR11212906_2.fastq.gz	46601771;47747219	627526
SRR11212907	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/007/SRR11212907/SRR11212907_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/007/SRR11212907/SRR11212907_2.fastq.gz	34073537;34918236	442186
SRR11212908	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/008/SRR11212908/SRR11212908_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/008/SRR11212908/SRR11212908_2.fastq.gz	34629045;36011270	453242
SRR11212909	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/009/SRR11212909/SRR11212909_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/009/SRR11212909/SRR11212909_2.fastq.gz	72420263;74297394	956195
SRR11212910	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/010/SRR11212910/SRR11212910_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/010/SRR11212910/SRR11212910_2.fastq.gz	41074391;42054042	537783
SRR11212911	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/011/SRR11212911/SRR11212911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/011/SRR11212911/SRR11212911_2.fastq.gz	6259223;6610619	96030
SRR11212912	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/012/SRR11212912/SRR11212912_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/012/SRR11212912/SRR11212912_2.fastq.gz	13480526;13461430	187285
SRR11212913	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/013/SRR11212913/SRR11212913_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/013/SRR11212913/SRR11212913_2.fastq.gz	13731405;13937988	184690
SRR11212914	ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/014/SRR11212914/SRR11212914_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR112/014/SRR11212914/SRR11212914_2.fastq.gz	14449435;14786819	195586
